GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Knowledge Management Service,dev.coms4156.project.service,DocumentTextExtractionService,21,132,8,34,5,33,8,19,1,5
Knowledge Management Service,dev.coms4156.project.service,DocumentSummarizationService,34,103,2,6,12,28,1,8,0,5
Knowledge Management Service,dev.coms4156.project.service,DocumentChunkingService.ChunkStatistics,0,33,0,0,0,12,0,6,0,6
Knowledge Management Service,dev.coms4156.project.service,ApiLoggingService,54,191,0,12,6,26,0,13,0,7
Knowledge Management Service,dev.coms4156.project.service,SimpleEmbeddingService,32,513,11,43,9,123,11,27,0,11
Knowledge Management Service,dev.coms4156.project.service,JwtService,0,136,1,3,0,30,1,15,0,14
Knowledge Management Service,dev.coms4156.project.service,RagService,12,130,0,4,5,28,1,6,1,4
Knowledge Management Service,dev.coms4156.project.service,DocumentChunkingService,16,218,6,18,2,56,7,14,1,8
Knowledge Management Service,dev.coms4156.project.service,DocumentService,2,353,2,24,1,85,2,23,0,12
Knowledge Management Service,dev.coms4156.project.service,AuthenticationService,0,208,0,16,0,55,0,12,0,4
Knowledge Management Service,dev.coms4156.project.converter,FloatArrayToPgVectorConverter,0,81,1,13,0,18,1,9,0,3
Knowledge Management Service,dev.coms4156.project.model,Document.ProcessingStatus,0,45,0,0,0,8,0,1,0,1
Knowledge Management Service,dev.coms4156.project.model,DocumentRelationship.RelationshipType,0,51,0,0,0,9,0,1,0,1
Knowledge Management Service,dev.coms4156.project.model,User.Role,0,15,0,0,0,3,0,1,0,1
Knowledge Management Service,dev.coms4156.project.controller,Controller,0,6,0,0,0,2,0,2,0,2
Knowledge Management Service,dev.coms4156.project.controller,DocumentApiController,33,569,1,33,8,141,1,27,0,11
Knowledge Management Service,dev.coms4156.project.controller,AuthController,0,42,0,0,0,13,0,3,0,3
Knowledge Management Service,dev.coms4156.project.config,RagConfiguration,0,49,0,0,0,11,0,9,0,9
Knowledge Management Service,dev.coms4156.project.config,ApiLoggingConfig,0,16,0,0,0,4,0,2,0,2
Knowledge Management Service,dev.coms4156.project.config,ResponseBodyCaptureFilter,0,38,0,2,0,13,0,5,0,4
Knowledge Management Service,dev.coms4156.project.config,JwtAuthenticationFilter,0,83,1,7,0,24,1,5,0,2
Knowledge Management Service,dev.coms4156.project.config,JwtAuthenticationEntryPoint,0,26,0,0,0,7,0,2,0,2
Knowledge Management Service,dev.coms4156.project.config,SecurityConfig,0,151,0,0,0,29,0,9,0,9
Knowledge Management Service,dev.coms4156.project.config,ApiLoggingInterceptor,4,305,2,42,3,82,2,28,0,8
Knowledge Management Service,dev.coms4156.project,KnowledgeServiceApplication,5,3,0,0,2,1,1,1,1,1
Knowledge Management Service,dev.coms4156.project.dtos,DocumentChunkDTO,0,78,1,13,0,27,1,7,0,1
Knowledge Management Service,dev.coms4156.project.dtos,DocumentDTO,0,24,0,2,0,11,0,2,0,1
Knowledge Management Service,dev.coms4156.project.dtos,DocumentRelationshipDTO,26,0,2,0,11,0,2,0,1,0
